,CIK,AUM,positionsNumber,portfolio_turnover,portfolio_duration,top_10_holdings,yield_from_last_report,yield_from_1_year,yield_from_3_year
81,1061768,11.07,42.0,0.11,0.06,0.69,0.08,0.09,-0.03
82,61227,11.06,2007.47,0.57,0.02,0.21,-0.09,0.92,0.98
83,1399770,10.71,49.06,0.07,0.1,0.91,0.0,8770.13,15609.01
84,1040273,10.7,43.0,0.18,0.05,0.64,0.04,0.07,-0.07
85,1747057,10.67,36.4,0.26,0.03,0.66,0.03,0.46,0.0
86,1350694,10.61,373.78,0.11,0.07,0.7,0.02,0.03,-0.07
87,1315868,10.45,109.83,0.16,0.03,0.35,0.04,-0.05,-0.07
88,909661,10.33,92.89,0.14,0.05,0.58,0.04,0.88,0.0
89,949509,10.19,320.29,0.17,0.02,0.48,0.91,1.54,0.0
90,1501436,9.82,1737.8,0.09,0.02,0.4,0.02,-0.05,-0.09
91,1720792,9.79,49.31,0.14,0.06,0.62,0.06,0.03,0.0
92,1725248,9.76,715.21,0.58,0.02,0.19,0.03,0.04,0.01
93,1418814,9.74,16.7,0.09,0.15,0.95,0.04,-0.02,-0.06
94,1483859,9.72,330.74,0.12,0.02,0.2,0.04,0.11,0.09
95,1345471,9.58,8.41,0.04,0.23,1.0,0.03,-0.08,-0.09
96,1791786,9.57,51.4,0.27,0.03,0.7,0.14,0.0,0.0
97,1279936,9.41,65.35,0.04,0.06,0.28,0.04,0.12,0.16
98,1082327,9.32,654.33,0.09,0.02,0.19,0.03,0.04,-0.01
99,1700574,9.03,647.21,0.46,0.01,0.22,0.04,0.3,0.19
100,1112520,9.02,27.35,0.05,0.11,0.78,0.05,0.2,0.33
101,905567,8.97,48.65,0.04,0.07,0.69,0.03,-0.03,-0.1
102,1279891,8.58,1415.6,0.37,0.03,0.24,0.04,0.14,0.1
103,1033427,8.52,79.65,0.18,0.04,0.35,0.04,-0.08,-0.17
104,1739439,8.45,2558.08,0.63,0.02,0.21,0.05,0.19,0.0
105,1697748,8.35,205.89,0.25,0.02,0.41,0.08,1.52,3.77
106,1009016,8.29,559.25,0.38,0.02,0.28,0.02,0.1,0.11
107,71259,8.2,390.4,0.1,0.01,0.13,0.03,0.02,-0.0
108,1070134,8.15,204.9,0.08,0.03,0.36,0.03,0.04,0.03
109,936753,8.13,162.8,0.19,0.02,0.27,0.02,-0.01,-0.05
110,1055951,8.07,138.0,0.18,0.03,0.36,0.05,0.05,-0.04
111,1798849,8.05,41.67,0.14,0.03,0.58,0.07,0.22,0.0
112,1537014,7.73,924.61,1.21,0.02,0.19,1.29,0.69,0.34
113,884414,7.61,1018.79,0.2,0.01,0.15,0.05,0.12,0.22
114,1642575,7.58,1949.95,0.46,0.01,0.14,0.07,0.46,0.8
115,934639,7.56,341.53,0.29,0.04,0.48,0.03,-0.03,-0.03
